"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"155","CO","No Policy","Scenario1","Cheese Manufacturing",15.0233319918601,180612.886263658,3.2164556691952,3.47075961684021
"156","CA","Capex: -0%, Elec: -50%","Scenario1","Cheese Manufacturing",15.9900887900936,174602.278558329,3.58757410155736,7.38184967439984
"157","CA","Capex: -100%, Elec: -0%","Scenario1","Cheese Manufacturing",45.9766044451511,174602.278558329,3.58757410155736,7.38184967439984
"158","CA","Capex: -50%, Elec: -0%","Scenario1","Cheese Manufacturing",46.0306070306554,174602.278558329,3.58757410155736,7.38184967439984
"159","CA","Capex: -50%, Elec: -50%","Scenario1","Cheese Manufacturing",15.9360862045892,174602.278558329,3.58757410155736,7.38184967439984
"160","CA","No Policy","Scenario1","Cheese Manufacturing",46.0846096161598,174602.278558329,3.58757410155736,7.38184967439984
"161","IL","Capex: -0%, Elec: -50%","Scenario3","Animal (except Poultry) Slaughtering",2.48506123494544,171337.169502499,2.94622214222868,4.60646927226498
"162","IL","Capex: -100%, Elec: -0%","Scenario3","Animal (except Poultry) Slaughtering",13.1051064083807,171337.169502499,2.94622214222868,4.60646927226498
"163","IL","Capex: -50%, Elec: -0%","Scenario3","Animal (except Poultry) Slaughtering",13.1537087353346,171337.169502499,2.94622214222868,4.60646927226498
"164","IL","Capex: -50%, Elec: -50%","Scenario3","Animal (except Poultry) Slaughtering",2.43645890799153,171337.169502499,2.94622214222868,4.60646927226498
"165","IL","No Policy","Scenario3","Animal (except Poultry) Slaughtering",13.2023110622885,171337.169502499,2.94622214222868,4.60646927226498
"166","MN","Capex: -0%, Elec: -50%","Scenario4","Wet Corn Milling and Starch Manufacturing",1.77857344366536,168089.698398103,4.245701207139,5.09644912743735
"167","MN","Capex: -100%, Elec: -0%","Scenario4","Wet Corn Milling and Starch Manufacturing",7.68863977081694,168089.698398103,4.245701207139,5.09644912743735
"168","MN","Capex: -50%, Elec: -0%","Scenario4","Wet Corn Milling and Starch Manufacturing",8.50919853757133,168089.698398103,4.245701207139,5.09644912743735
"169","MN","Capex: -50%, Elec: -50%","Scenario4","Wet Corn Milling and Starch Manufacturing",0.958014676910968,168089.698398103,4.245701207139,5.09644912743735
"170","MN","No Policy","Scenario4","Wet Corn Milling and Starch Manufacturing",9.32975730432572,168089.698398103,4.245701207139,5.09644912743735
"171","PA","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",0.169150337698031,166021.571096317,2.06333682922532,3.14778090982423
"172","PA","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",11.8452088280537,166021.571096317,2.06333682922532,3.14778090982423
"173","PA","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",11.899211413558,166021.571096317,2.06333682922532,3.14778090982423
"174","PA","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",0.115147752193682,166021.571096317,2.06333682922532,3.14778090982423
"175","PA","No Policy","Scenario1","Ethyl Alcohol Manufacturing",11.9532139990624,166021.571096317,2.06333682922532,3.14778090982423
"176","CO","Capex: -0%, Elec: -50%","Scenario1","Animal (except Poultry) Slaughtering",2.74763868142808,164219.960194857,3.2164556691952,3.47075961684021
"177","CO","Capex: -100%, Elec: -0%","Scenario1","Animal (except Poultry) Slaughtering",14.875886197032,164219.960194857,3.2164556691952,3.47075961684021
"178","CO","Capex: -50%, Elec: -0%","Scenario1","Animal (except Poultry) Slaughtering",14.9298887825364,164219.960194857,3.2164556691952,3.47075961684021
"179","CO","Capex: -50%, Elec: -50%","Scenario1","Animal (except Poultry) Slaughtering",2.69363609592374,164219.960194857,3.2164556691952,3.47075961684021
"180","CO","No Policy","Scenario1","Animal (except Poultry) Slaughtering",14.9838913680407,164219.960194857,3.2164556691952,3.47075961684021
"181","CO","Capex: -0%, Elec: -50%","Scenario3","Cheese Manufacturing",1.55124311496091,162589.867637292,3.2164556691952,3.47075961684021
"182","CO","Capex: -100%, Elec: -0%","Scenario3","Cheese Manufacturing",12.4666658790045,162589.867637292,3.2164556691952,3.47075961684021
"183","CO","Capex: -50%, Elec: -0%","Scenario3","Cheese Manufacturing",12.5152682059584,162589.867637292,3.2164556691952,3.47075961684021
"184","CO","Capex: -50%, Elec: -50%","Scenario3","Cheese Manufacturing",1.502640788007,162589.867637292,3.2164556691952,3.47075961684021
